config_name,scenario_name,avg_waiting_time_sec,max_waiting_time_sec,passengers_served,passengers_left_behind,avg_occupancy_rate,max_occupancy_rate,avg_train_delay_sec,max_train_delay_sec,delay_propagation_count,failed_trains,operational_cost_index,total_system_cost
3-car / 1.5 min,"NORMAL
(Moderate, Typical)",134.3324163275183,135.0237676528944,300,1700,0.02564102564102564,1.0,0.0,0,0,1,4.6000000000000005,4076.2620816375916
3-car / 1.5 min,"NORMAL
(Moderate, Typical)",26.82133521381309,27.484479313352956,300,1700,0.02564102564102564,1.0,0.0,0,0,2,5.0,3539.1066760690655
3-car / 1.5 min,"NORMAL
(Moderate, Typical)",0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,4.2,4.2
3-car / 1.5 min,"NORMAL
(Moderate, Typical)",32.595284564949395,33.26701449481496,300,1700,0.02564102564102564,1.0,0.0,0,0,1,4.6000000000000005,3567.576422824747
3-car / 1.5 min,"NORMAL
(Moderate, Typical)",4.678112163214332,5.425211819352669,300,1700,0.02564102564102564,1.0,0.0,0,0,2,5.0,3428.3905608160717
3-car / 1.5 min,"NORMAL
(Moderate, Typical)",39.81523690138668,40.565621915343606,300,1700,0.025,1.0,0.0,0,0,0,4.2,3603.2761845069335
3-car / 1.5 min,"NORMAL
(Moderate, Typical)",75.9478616616033,76.65615995152304,300,1700,0.02631578947368421,1.0,0.0,0,0,2,5.0,3784.7393083080165
3-car / 1.5 min,"NORMAL
(Moderate, Typical)",0.5781588646859023,1.2875444598338133,300,1700,0.024390243902439025,1.0,0.0,0,0,0,4.2,3407.0907943234297
3-car / 1.5 min,"NORMAL
(Moderate, Typical)",0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,4.2,4.2
3-car / 1.5 min,"NORMAL
(Moderate, Typical)",0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,4.2,4.2
3-car / 1.5 min,"NORMAL
(Moderate, Typical)",0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,4.2,4.2
3-car / 1.5 min,"NORMAL
(Moderate, Typical)",0.0,0.0,0,0,0.0,0.0,0.0,0,0,2,5.0,5.0
